latitude_deg	longitude_deg	height_m	gravity_mGal	survey_ID	year	xGEOID17RefB	h
36.8495	-107.68833	1913.2	979265.875	746	9999	-21.35460228546	1891.84539771454
36.8495	-102.555	1275.0	979493.681	746	9999	-24.65919805437	1250.34080194563
36.8495	-102.39166999999998	1250.0	979507.552	746	9999	-25.01873592262	1224.98126407738
36.8495	-102.33667000000004	1243.6	979509.928	746	9999	-25.14966219811	1218.4503378018899
36.8495	-102.28832999999996	1220.4	979516.992	746	9999	-25.26362634594	1195.13637365406
36.84783	-102.21332999999998	1194.2	979521.515	746	9999	-25.45230496621	1168.74769503379
36.84783	-102.15832999999998	1178.1	979526.107	746	9999	-25.60110395251	1152.49889604749
36.84783	-102.05	1137.5	979536.641	746	9999	-25.86688201314	1111.63311798686
36.84717	-106.57083	2333.5	979173.212	746	9999	-18.15649177864	2315.34350822136
36.8455	-108.74333	1481.6	979411.128	746	9999	-21.63901356216	1459.96098643784
36.8455	-108.45167	1622.1	979360.111	746	9999	-21.68477984831	1600.41522015169
36.8455	-107.85333	1916.9	979274.725	746	9999	-21.48475504105	1895.41524495895
36.84467	-107.97333	1729.4	979319.478	746	9999	-21.57000811646	1707.82999188354
36.84467	-106.637	2316.8	979178.646	746	9999	-18.49163770536	2298.30836229464
36.844	-108.64333	1541.1	979395.711	746	9999	-21.64635492121	1519.4536450787898
36.84233	-106.85	2317.1	979167.287	746	9999	-19.2639196951	2297.8360803049
36.83833	-106.72833	2322.6	979169.773	746	9999	-18.85783854692	2303.74216145308
36.8375	-109.025	1696.8	979352.444	746	9999	-21.38973385296	1675.41026614704
36.83667	-108.575	1628.2	979371.762	746	9999	-21.66710037392	1606.53289962608
36.83367	-108.86333	1568.2	979389.75	746	9999	-21.64996522227	1546.55003477773
36.83367	-107.15	2172.0	979205.402	746	9999	-20.16344517748	2151.83655482252
36.83367	-107.02167	2217.4	979191.212	746	9999	-19.81987951717	2197.58012048283
36.832	-107.435	1951.9	979258.291	746	9999	-20.92048413404	1930.9795158659601
36.832	-106.98667	2237.2	979187.833	746	9999	-19.72047284018	2217.47952715982
36.82633	-108.69833	1507.0	979402.197	746	9999	-21.69619432857	1485.30380567143
36.82483	-108.96167	1598.1	979368.861	746	9999	-21.56526503335	1576.53473496665
36.824	-108.04	1727.0	979319.646	746	9999	-21.69709220104	1705.30290779896
36.82317	-106.53017	2393.6	979160.564	746	9999	-18.04812654092	2375.55187345908
36.82233	-107.715	1799.8	979290.198	746	9999	-21.42354715259	1778.37645284741
36.82233	-102.95333	1352.4	979463.329	746	9999	-23.56191406897	1328.83808593103
36.82083	-108.41667	1620.0	979356.904	746	9999	-21.7855341357	1598.2144658643
36.82083	-107.98833	1721.5	979319.842	746	9999	-21.65738092658	1699.84261907342
36.82083	-107.93833	1827.0	979296.483	746	9999	-21.61601418932	1805.38398581068
36.82083	-102.80167	1351.0	979469.095	746	9999	-24.01112835163	1326.98887164837
36.82083	-102.515	1282.7	979492.465	746	9999	-24.75124041108	1257.94875958892
36.82083	-102.45	1255.2	979502.828	746	9999	-24.8879838243	1230.3120161757001
36.81917	-108.23167	1667.3	979336.891	746	9999	-21.78921063316	1645.5107893668398
36.81917	-108.17667	1749.6	979317.516	746	9999	-21.79187853845	1727.80812146155
36.81917	-107.205	2129.6	979215.833	746	9999	-20.34087702438	2109.25912297562
36.81917	-102.60500000000002	1278.0	979490.178	746	9999	-24.53641121047	1253.46358878953
36.8185	-108.9	1602.3	979378.159	746	9999	-21.64014845868	1580.65985154132
36.8185	-107.46667	1918.7	979264.631	746	9999	-21.00637798937	1897.69362201063
36.8185	-106.56667	2315.0	979176.068	746	9999	-18.29464233688	2296.70535766312
36.81683	-106.68167	2277.8	979173.788	746	9999	-18.80926834293	2258.9907316570702
36.81533	-108.74667	1480.4	979407.22	746	9999	-21.6983961438	1458.7016038562
36.81433	-108.27333	1762.0	979316.803	746	9999	-21.80512305314	1740.19487694686
36.81433	-107.65833	1765.1	979296.475	746	9999	-21.36654136512	1743.73345863488
36.812	-108.51667	1654.1	979355.42	746	9999	-21.77431891254	1632.32568108746
36.80967	-102.85333000000004	1341.1	979468.35	746	9999	-23.86213768011	1317.23786231989
36.80817	-106.88333	2342.1	979158.644	746	9999	-19.46913190434	2322.63086809566
36.80567	-102.89499999999998	1336.9	979467.184	746	9999	-23.73845953839	1313.16154046161
36.80567	-102.39499999999998	1243.0	979505.797	746	9999	-25.02014704812	1217.97985295188
36.80567	-102.33999999999996	1229.3	979511.019	746	9999	-25.15493195924	1204.14506804076
36.80567	-102.28832999999996	1220.4	979516.369	746	9999	-25.27606132997	1195.1239386700302
36.80567	-102.21332999999998	1189.9	979521.279	746	9999	-25.45973492582	1164.4402650741802
36.80567	-102.15667000000002	1174.4	979525.309	746	9999	-25.61557828197	1148.78442171803
36.80567	-102.10500000000002	1161.3	979529.552	746	9999	-25.75670657067	1135.5432934293299
36.80567	-102.05	1135.1	979535.174	746	9999	-25.89902812008	1109.20097187992
36.804	-108.655	1580.1	979383.372	746	9999	-21.77721567607	1558.32278432393
36.804	-108.61833	1594.7	979376.464	746	9999	-21.78513607845	1572.91486392155
36.804	-107.84	1898.6	979275.673	746	9999	-21.56911930028	1877.03088069972
36.804	-107.68833	1756.6	979300.039	746	9999	-21.42424151453	1735.17575848547
36.80167	-108.70833	1513.3	979396.086	746	9999	-21.75626067706	1491.54373932294
36.79933	-106.92167	2393.9	979149.834	746	9999	-19.60122643447	2374.29877356553
36.797	-108.08167	1678.1	979327.932	746	9999	-21.81702205676	1656.28297794324
36.7965	-107.03833	2275.6	979173.496	746	9999	-19.95571422324	2255.6442857767597
36.793	-109.02	1718.5	979345.64	746	9999	-21.34051616908	1697.15948383092
36.793	-107.71667	1753.5	979302.396	746	9999	-21.47588373515	1732.02411626485
36.79133	-107.9	1896.5	979278.259	746	9999	-21.66344622378	1874.83655377622
36.78983	-108.88667	1583.1	979378.376	746	9999	-21.65202907354	1561.44797092646
36.78983	-107.47833	1936.4	979259.696	746	9999	-21.05793863677	1915.3420613632302
36.78983	-106.55867	2283.3	979181.349	746	9999	-18.39615146868	2264.9038485313204
36.78983	-102.8	1378.1	979460.931	746	9999	-24.0174722203	1354.0825277796998
36.789	-108.30833	1704.1	979329.678	746	9999	-21.89157336252	1682.20842663748
36.78817	-108.19833	1700.2	979324.747	746	9999	-21.87540081987	1678.32459918013
36.78817	-108.11167	1693.2	979323.883	746	9999	-21.85522991108	1671.34477008892
36.7865	-107.98333	1792.5	979300.188	746	9999	-21.75724307723	1770.74275692277
36.78567	-107.785	1810.8	979291.195	746	9999	-21.55685830069	1789.24314169931
36.785	-106.655	2309.5	979164.595	746	9999	-18.85573672318	2290.64426327682
36.78333	-108.67333	1511.0	979390.972	746	9999	-21.82600902118	1489.17399097882
36.78333	-108.425	1603.6	979360.879	746	9999	-21.89849645039	1581.70150354961
36.78333	-107.075	2227.5	979184.86	746	9999	-20.07689396383	2207.42310603617
36.781	-108.03333	1727.0	979315.856	746	9999	-21.81924694269	1705.18075305731
36.78017	-108.93667	1568.5	979381.321	746	9999	-21.58797394705	1546.91202605295
36.78017	-108.63333	1516.3	979386.345	746	9999	-21.85392032989	1494.44607967011
36.78017	-108.54667	1598.1	979364.534	746	9999	-21.8788257054	1576.2211742946
36.78017	-107.19333	2176.3	979202.175	746	9999	-20.37214174157	2155.92785825843
36.7785	-108.23333	1628.5	979340.093	746	9999	-21.90794066592	1606.59205933408
36.77783	-102.51333	1273.8	979491.34	746	9999	-24.76338167494	1249.0366183250599
36.77783	-102.45	1254.3	979498.28	746	9999	-24.90145314544	1229.39854685456
36.77617	-102.75	1330.8	979472.56	746	9999	-24.16091096376	1306.63908903624
36.77617	-102.66000000000004	1305.8	979479.611	746	9999	-24.39377756714	1281.40622243286
36.77617	-102.60500000000002	1300.9	979482.646	746	9999	-24.53988836267	1276.3601116373302
36.773	-108.83667	1555.7	979378.334	746	9999	-21.70408804257	1533.99591195743
36.773	-106.76667	2315.0	979160.507	746	9999	-19.26657969953	2295.73342030047
36.77067	-107.15667	2174.1	979200.956	746	9999	-20.29360448731	2153.80639551269
36.76983	-108.73333	1506.3	979391.022	746	9999	-21.80858488657	1484.4914151134299
36.76983	-107.75	1748.0	979303.849	746	9999	-21.55524332784	1726.44475667216
36.7635	-108.59	1531.3	979378.324	746	9999	-21.91564978882	1509.38435021118
36.7635	-106.5565	2260.0	979181.249	746	9999	-18.50915774403	2241.49084225597
36.76267	-107.87333	1796.8	979296.843	746	9999	-21.70317024502	1775.09682975498
36.76267	-102.8	1373.5	979459.908	746	9999	-24.01717353588	1349.48282646412
36.76267	-102.33667000000004	1222.9	979510.214	746	9999	-25.18283684887	1197.71716315113
36.76267	-102.24667	1205.8	979517.192	746	9999	-25.39662193384	1180.40337806616
36.761	-108.36167	1623.1	979349.998	746	9999	-21.96743719598	1601.13256280402
36.761	-108.22167	1670.0	979330.58	746	9999	-21.94757900398	1648.05242099602
36.761	-107.45667	1948.3	979254.901	746	9999	-21.03823045724	1927.26176954276
36.761	-106.875	2296.7	979166.674	746	9999	-19.56835634303	2277.13164365697
36.761	-102.96667000000002	1400.9	979450.821	746	9999	-23.51031364869	1377.38968635131
36.761	-102.89499999999998	1410.3	979449.307	746	9999	-23.72309821379	1386.5769017862099
36.761	-102.28667000000002	1211.0	979516.521	746	9999	-25.3011748626	1185.6988251374
36.761	-102.195	1185.9	979520.203	746	9999	-25.53572397488	1160.36427602512
36.761	-102.14	1173.5	979522.243	746	9999	-25.6941148579	1147.8058851421
36.761	-102.08333	1150.3	979527.962	746	9999	-25.8528714397	1124.4471285603
36.761	-102.02499999999998	1124.6	979533.542	746	9999	-26.00888313376	1098.5911168662399
36.76017	-102.39333	1238.1	979503.406	746	9999	-25.04589981744	1213.05410018256
36.7595	-108.78333	1602.3	979366.495	746	9999	-21.77934474083	1580.5206552591699
36.75783	-108.5	1531.9	979372.416	746	9999	-21.95792797869	1509.9420720213102
