Lon	Lat	h	gravity disturbance(mGal)
13.773	44.652	2500	7.763009068107
13.842	44.608	2500	6.524706288324
13.911	44.564	2500	6.259987971902
13.98	44.52	2500	4.450274676593
14.049	44.476	2500	4.824296554062
14.118	44.432	2500	3.854983727436
14.187	44.388	2500	-1.978299143879
14.256	44.344	2500	-5.90431900207
14.325	44.3	2500	-5.691401968733
14.394	44.256	2500	-8.46423792904
14.463	44.212	2500	-13.00751498956
14.532	44.168	2500	-12.37931717952
14.601	44.124	2500	-10.61602965198
14.67	44.08	2500	-12.82507146918
14.739	44.036	2500	-12.6907466381
14.808	43.992	2500	-7.900298034436
14.877	43.948	2500	-6.589605140128
14.946	43.904	2500	-9.399682717337
15.015	43.86	2500	-8.990654994001
15.084	43.816	2500	-6.289430226225
15.153	43.772	2500	-5.927894172508
15.222	43.728	2500	-5.505534445582
15.291	43.684	2500	-4.047613557923
15.36	43.64	2500	-5.695203607026
15.429	43.596	2500	-9.228224085689
15.498	43.552	2500	-10.25492428628
15.567	43.508	2500	-10.58385924182
15.636	43.464	2500	-12.33986748073
15.705	43.42	2500	-12.28745463564
15.774	43.376	2500	-8.733895207769
15.843	43.332	2500	-3.168217746996
15.912	43.288	2500	3.368880381061
15.981	43.244	2500	7.990415225834
16.05	43.2	2500	9.256262341317
16.119	43.156	2500	13.00431491398
16.188	43.112	2500	21.19371935674
16.257	43.068	2500	24.26301290992
16.326	43.024	2500	18.77848172782
16.395	42.98	2500	14.98746073931
16.464	42.936	2500	17.45576365035
16.533	42.892	2500	21.15367471713
16.602	42.848	2500	26.87217780721
16.671	42.804	2500	36.08142578617
16.74	42.76	2500	40.31007400105
16.809	42.716	2500	35.97330342906
16.878	42.672	2500	31.78369592867
16.947	42.628	2500	30.48922990718
17.016	42.584	2500	26.1873668677
17.085	42.54	2500	19.47423711783
17.154	42.496	2500	12.86543342065
17.223	42.452	2500	1.867445372916
17.292	42.408	2500	-13.26165454234
17.361	42.364	2500	-24.61409489936
17.43	42.32	2500	-31.29211416955
17.499	42.276	2500	-37.09277210522
17.568	42.232	2500	-39.00212027492
17.637	42.188	2500	-35.40464488072
17.706	42.144	2500	-32.6944488366
17.775	42.1	2500	-33.2673973924
17.844	42.056	2500	-32.40771436079
17.913	42.012	2500	-28.92465869646
17.982	41.968	2500	-26.28130355138
18.051	41.924	2500	-27.23469578179
18.12	41.88	2500	-31.93454169264
18.189	41.836	2500	-36.0056792811
18.258	41.792	2500	-35.8536340924
18.327	41.748	2500	-36.90519442774
18.396	41.704	2500	-43.29966101366
18.465	41.66	2500	-47.12589440174
18.534	41.616	2500	-44.13682416917
18.603	41.572	2500	-42.6967171089
18.672	41.528	2500	-44.77021623153
18.741	41.484	2500	-42.6897166065
18.81	41.44	2500	-38.06443178451
18.879	41.396	2500	-38.2867524424
18.948	41.352	2500	-41.84303518855
19.017	41.308	2500	-45.70261499897
19.086	41.264	2500	-51.03398396802
19.155	41.22	2500	-55.37457819678
19.224	41.176	2500	-56.95389783433
19.293	41.132	2500	-59.23771689886
19.362	41.088	2500	-61.08984356281
19.431	41.044	2500	-60.27506623205
19.5	41	2500	-62.36105013766
12.845	44.98	2500	-9.25691622502
12.914	44.936	2500	-7.948933733992
12.983	44.892	2500	-7.794315762588
13.052	44.848	2500	-13.54848153792
13.121	44.804	2500	-16.15110262065
13.19	44.76	2500	-11.62062597935
13.259	44.716	2500	-7.283431204108
13.328	44.672	2500	-5.136778373505
13.397	44.628	2500	-1.935654266383
13.466	44.584	2500	-0.3133289741442
13.535	44.54	2500	-1.867248379384
13.604	44.496	2500	-1.775310490082
13.673	44.452	2500	-0.001007404826225
13.742	44.408	2500	-1.106065472634
13.811	44.364	2500	-2.366966294787
13.88	44.32	2500	0.2388417028598
13.949	44.276	2500	1.349923698157
14.018	44.232	2500	-3.371784248962
14.087	44.188	2500	-8.464100029038
14.156	44.144	2500	-10.18988497954
14.225	44.1	2500	-11.99058481802
14.294	44.056	2500	-14.21438895779
14.363	44.012	2500	-12.8969903427
14.432	43.968	2500	-8.616538591433
14.501	43.924	2500	-5.590475513806
14.57	43.88	2500	-5.209025001562
14.639	43.836	2500	-6.371174460007
14.708	43.792	2500	-7.544941028925
14.777	43.748	2500	-7.283785118339
14.846	43.704	2500	-6.462371733384
14.915	43.66	2500	-7.362870302785
14.984	43.616	2500	-9.291218335328
15.053	43.572	2500	-10.11499869765
15.122	43.528	2500	-10.61240376039
15.191	43.484	2500	-12.10059523977
15.26	43.44	2500	-13.51803860548
15.329	43.396	2500	-14.02712890144
15.398	43.352	2500	-13.55917484389
15.467	43.308	2500	-10.90835147508
15.536	43.264	2500	-5.872014087771
15.605	43.22	2500	-0.147201959777
15.674	43.176	2500	5.535165671589
15.743	43.132	2500	9.830906299158
15.812	43.088	2500	9.890087423337
15.881	43.044	2500	8.099256409722
15.95	43	2500	10.17009954865
16.019	42.956	2500	12.68906376382
16.088	42.912	2500	8.668957418934
16.157	42.868	2500	4.693632592456
16.226	42.824	2500	10.78979281051
16.295	42.78	2500	19.69078248383
16.364	42.736	2500	19.97145031698
16.433	42.692	2500	16.78241576606
16.502	42.648	2500	17.96926105637
16.571	42.604	2500	19.07701170829
16.64	42.56	2500	17.99477059397
16.709	42.516	2500	20.87683532075
16.778	42.472	2500	25.70835136382
16.847	42.428	2500	23.40465407364
16.916	42.384	2500	14.15030589502
16.985	42.34	2500	4.438883001079
17.054	42.296	2500	-3.020753079674
17.123	42.252	2500	-6.688453825632
17.192	42.208	2500	-6.480976056444
17.261	42.164	2500	-6.497831073204
17.33	42.12	2500	-7.153680433092
17.399	42.076	2500	-4.872147537505
17.468	42.032	2500	-2.398823418481
17.537	41.988	2500	-2.738489076748
17.606	41.944	2500	-0.589377467719
17.675	41.9	2500	3.820409306599
17.744	41.856	2500	1.604062387628
17.813	41.812	2500	-4.563055772699
17.882	41.768	2500	-4.792530727116
17.951	41.724	2500	-4.451578813303
18.02	41.68	2500	-12.28216816873
18.089	41.636	2500	-20.85752370622
18.158	41.592	2500	-23.44781483909
18.227	41.548	2500	-26.05207891513
18.296	41.504	2500	-30.46296736908
18.365	41.46	2500	-32.90120870236
18.434	41.416	2500	-36.15278489288
18.503	41.372	2500	-40.35885044313
18.572	41.328	2500	-38.68813107584
